cond.s.m01,echo.1.301,cond.p.m01,echo.p.301,cond.s.m1,echo.s.m1,cond.p.m1,echo.p.m1,cond.s.m2,echo.s.m2,cond.p.m2,echo.p.m2
s,0.000189041,p,0.000567123,1,0.000114191,p,0.000342572,s,5.30E-05,p,0.000159096
s,0.000204746,p,0.000614239,1,0.000122787,p,0.000368362,s,4.65E-05,p,0.000139492
s,0.00026825,p,0.000804749,1,0.000127727,p,0.00038318,s,5.48E-05,p,0.000164469
s,0.000203203,p,0.00060961,1,0.000123692,p,0.000371076,s,4.57E-05,p,0.000137092
s,0.000252764,p,0.000758292,1,8.97E-05,p,0.000269218,s,6.60E-05,p,0.000197972
s,0.000243623,p,0.00073087,1,8.49E-05,p,0.000254743,s,8.16E-05,p,0.000244752
s,0.000216392,p,0.000649175,1,0.00012765,p,0.00038295,s,3.27E-05,p,9.80E-05
s,0.000189594,p,0.000568783,1,0.000148542,p,0.000445625,s,7.49E-05,p,0.000224618
s,0.000195944,p,0.000587833,1,0.000131187,p,0.00039356,s,4.76E-05,p,0.000142707
s,0.000242457,p,0.000727372,1,9.57E-05,p,0.000287093,s,4.24E-05,p,0.000127346
s,0.00018117,p,0.000543509,1,0.000111413,p,0.00033424,s,7.19E-05,p,0.000215717
s,0.000206147,p,0.000618441,1,0.000119294,p,0.000357882,s,3.19E-05,p,9.56E-05
s,0.00026075,p,0.000782251,1,0.000110043,p,0.00033013,s,4.13E-05,p,0.000123755
s,0.000220487,p,0.00066146,1,0.000115741,p,0.000347224,s,5.73E-05,p,0.000171851
s,0.000224896,p,0.000674688,1,0.000134791,p,0.000404373,s,4.70E-05,p,0.000141125
s,0.000172816,p,0.000518449,1,0.000135793,p,0.000407378,s,5.93E-05,p,0.000177909
s,0.000186704,p,0.000560113,1,0.000130402,p,0.000391205,s,3.34E-05,p,0.00010031
s,0.00024809,p,0.000744269,1,0.00012119,p,0.000363569,s,4.59E-05,p,0.000137763
s,0.000212939,p,0.000638817,1,0.000119225,p,0.000357674,s,4.09E-05,p,0.000122803
s,0.000249763,p,0.00074929,1,0.000114013,p,0.000342038,s,5.97E-05,p,0.000179169
s,0.00015515,p,0.00046545,1,0.000146598,p,0.000439794,s,4.74E-05,p,0.000142324
s,0.000231031,p,0.000693092,1,0.000148918,p,0.000446753,s,3.71E-05,p,0.000111202
s,0.000209474,p,0.000628422,1,0.000128726,p,0.000386178,s,5.61E-05,p,0.000168206
s,0.000174824,p,0.000524472,1,0.000128066,p,0.000384197,s,5.60E-05,p,0.000167976
s,0.000202491,p,0.000607474,1,0.000129796,p,0.000389388,s,4.75E-05,p,0.00014249
s,0.000246293,p,0.000738878,1,0.000107031,p,0.000321094,s,6.17E-05,p,0.000185215
s,0.000183456,p,0.000550369,1,0.000150005,p,0.000450016,s,5.59E-05,p,0.000167766
s,0.000228779,p,0.000686337,1,0.000121433,p,0.0003643,s,3.30E-05,p,9.91E-05
s,0.000205332,p,0.000615996,1,8.79E-05,p,0.00026367,s,6.30E-05,p,0.000188887
s,0.000214198,p,0.000642593,1,0.000101965,p,0.000305894,s,6.24E-05,p,0.000187125
s,0.000202738,p,0.000608215,1,0.000142726,p,0.000428178,s,6.97E-05,p,0.000208968
s,0.000245948,p,0.000737843,1,0.000103177,p,0.000309531,s,2.57E-05,p,7.72E-05
s,0.000206504,p,0.000619513,1,0.000137173,p,0.000411519,s,6.23E-05,p,0.000186843
s,0.000251096,p,0.000753287,1,0.000123243,p,0.000369728,s,5.30E-05,p,0.000158919
s,0.000201042,p,0.000603125,1,9.03E-05,p,0.000270976,s,6.30E-05,p,0.000189127
s,0.000250089,p,0.000750268,1,0.000129072,p,0.000387215,s,4.12E-05,p,0.00012346
s,0.000227191,p,0.000681572,1,0.000125435,p,0.000376304,s,6.18E-05,p,0.000185478
s,0.000217068,p,0.000651205,1,0.000124389,p,0.000373168,s,5.26E-05,p,0.00015793
s,0.000259524,p,0.000778571,1,0.000145196,p,0.000435589,s,4.57E-05,p,0.000137141
s,0.000220983,p,0.000662949,1,0.000169391,p,0.000508173,s,6.15E-05,p,0.000184561
s,0.000208218,p,0.000624654,1,8.35E-05,p,0.000250566,s,3.18E-05,p,9.55E-05
s,0.000195666,p,0.000586997,1,0.000124479,p,0.000373436,s,7.69E-05,p,0.000230619
s,0.000203756,p,0.000611267,1,0.000157892,p,0.000473677,s,3.15E-05,p,9.44E-05
s,0.000240702,p,0.000722107,1,0.000119377,p,0.00035813,s,4.21E-05,p,0.000126277
s,0.000199664,p,0.000598991,1,8.90E-05,p,0.00026715,s,7.08E-05,p,0.000212486
s,0.000211048,p,0.000633143,1,9.49E-05,p,0.000284832,s,5.24E-05,p,0.000157165
s,0.000244826,p,0.000734477,1,0.000126342,p,0.000379027,s,4.78E-05,p,0.000143377
s,0.000220973,p,0.00066292,1,0.000107624,p,0.000322871,s,6.72E-05,p,0.000201552
s,0.000208904,p,0.000626712,1,0.000129377,p,0.000388132,s,3.61E-05,p,0.000108259
s,0.000242191,p,0.000726572,1,0.000105156,p,0.000315467,s,5.13E-05,p,0.000153939
s,0.000231955,p,0.000695864,1,0.000112891,p,0.000338674,s,5.33E-05,p,0.000159919
s,0.000160522,p,0.000481566,1,0.000107532,p,0.000322597,s,3.96E-05,p,0.000118849
s,0.000199355,p,0.000598066,1,0.0001284,p,0.000385201,s,5.34E-05,p,0.000160092
s,0.000187848,p,0.000563544,1,0.000139941,p,0.000419822,s,4.31E-05,p,0.00012934
s,0.000226,p,0.000678001,1,9.20E-05,p,0.000275857,s,5.09E-05,p,0.000152795
