cond.s.m,echo.1.3,cond.p.m,echo.p.3,cond.s.m,echo.1.3,cond.p.m,echo.p.3
s,0.000125508,p,0.000376523,s,3.41521E-05,p,0.000102456
s,0.00011318,p,0.000339541,s,4.79624E-05,p,0.000143887
s,0.000131682,p,0.000395047,s,4.62094E-05,p,0.000138628
s,0.000108239,p,0.000324717,s,4.06784E-05,p,0.000122035
s,0.000114926,p,0.000344777,s,5.3703E-05,p,0.000161109
s,0.000111198,p,0.000333594,s,4.86818E-05,p,0.000146045
s,0.000142031,p,0.000426092,s,5.7901E-05,p,0.000173703
s,0.000135971,p,0.000407914,s,3.96074E-05,p,0.000118822
s,0.000115866,p,0.000347598,s,4.38246E-05,p,0.000131474
s,0.000114849,p,0.000344547,s,4.83147E-05,p,0.000144944
s,0.000112486,p,0.000337458,s,4.86361E-05,p,0.000145908
s,9.71454E-05,p,0.000291436,s,4.86406E-05,p,0.000145922
s,0.000117904,p,0.000353713,s,4.40122E-05,p,0.000132037
s,9.76654E-05,p,0.000292996,s,3.28507E-05,p,9.85522E-05
s,0.000138163,p,0.00041449,s,4.05035E-05,p,0.00012151
s,0.000124156,p,0.000372467,s,5.05732E-05,p,0.000151719
s,0.000103477,p,0.000310431,s,4.35867E-05,p,0.00013076
s,0.0001137,p,0.0003411,s,3.82339E-05,p,0.000114702
s,0.000105544,p,0.000316632,s,4.77811E-05,p,0.000143343
s,0.000125727,p,0.000377181,s,5.36872E-05,p,0.000161061
s,0.000120711,p,0.000362134,s,5.01422E-05,p,0.000150427
s,0.00012288,p,0.00036864,s,3.40423E-05,p,0.000102127
s,9.9876E-05,p,0.000299628,s,4.45476E-05,p,0.000133643
s,0.000114508,p,0.000343523,s,4.7657E-05,p,0.000142971
s,0.000129661,p,0.000388983,s,5.17792E-05,p,0.000155338
s,0.000101545,p,0.000304635,s,5.09037E-05,p,0.000152711
s,0.000113156,p,0.000339468,s,4.50542E-05,p,0.000135163
s,8.65727E-05,p,0.000259718,s,3.8079E-05,p,0.000114237
s,0.000101411,p,0.000304232,s,5.65416E-05,p,0.000169625
s,9.63857E-05,p,0.000289157,s,5.27663E-05,p,0.000158299
s,0.000108737,p,0.000326212,s,5.73098E-05,p,0.000171929
s,0.000101556,p,0.000304669,s,4.31609E-05,p,0.000129483
s,0.000112626,p,0.000337877,s,5.22067E-05,p,0.00015662
s,9.17757E-05,p,0.000275327,s,5.13744E-05,p,0.000154123
s,0.000104355,p,0.000313065,s,4.51274E-05,p,0.000135382
s,0.000111445,p,0.000334334,s,3.47334E-05,p,0.0001042
s,0.000126224,p,0.000378671,s,4.20225E-05,p,0.000126067
s,0.000111526,p,0.000334579,s,3.70579E-05,p,0.000111174
s,9.9541E-05,p,0.000298623,s,4.28844E-05,p,0.000128653
s,0.000113386,p,0.000340158,s,5.22086E-05,p,0.000156626
s,0.000127178,p,0.000381534,s,5.02796E-05,p,0.000150839
s,0.00012448,p,0.000373441,s,3.57697E-05,p,0.000107309
s,0.00013409,p,0.00040227,s,5.12371E-05,p,0.000153711
s,0.000116818,p,0.000350454,s,4.24593E-05,p,0.000127378
s,0.000110366,p,0.000331098,s,4.4193E-05,p,0.000132579
s,0.000114075,p,0.000342225,s,5.189E-05,p,0.00015567
