echo,condition
0.000114191,N=1
0.000122787,N=1
0.000127727,N=1
0.000123692,N=1
8.97E-05,N=1
8.49E-05,N=1
0.00012765,N=1
0.000148542,N=1
0.000131187,N=1
9.57E-05,N=1
0.000111413,N=1
0.000119294,N=1
0.000110043,N=1
0.000115741,N=1
0.000134791,N=1
0.000135793,N=1
0.000130402,N=1
0.00012119,N=1
0.000119225,N=1
0.000114013,N=1
0.000146598,N=1
0.000148918,N=1
0.000128726,N=1
0.000128066,N=1
0.000129796,N=1
0.000107031,N=1
0.000150005,N=1
0.000121433,N=1
8.79E-05,N=1
0.000101965,N=1
0.000142726,N=1
0.000103177,N=1
0.000137173,N=1
0.000123243,N=1
9.03E-05,N=1
0.000129072,N=1
0.000125435,N=1
0.000124389,N=1
0.000145196,N=1
0.000169391,N=1
8.35E-05,N=1
0.000124479,N=1
0.000157892,N=1
0.000119377,N=1
8.90E-05,N=1
9.49E-05,N=1
0.000126342,N=1
0.000107624,N=1
0.000129377,N=1
0.000105156,N=1
0.000112891,N=1
0.000107532,N=1
0.0001284,N=1
0.000139941,N=1
9.20E-05,N=1
0.000122272,N=1
0.000124019,N=1
0.000107716,N=1
0.000136551,N=1
0.000151117,N=1
0.000145386,N=1
0.000104693,N=1
0.000142156,N=1
0.000145691,N=1
0.000130688,N=1
0.000118233,N=1
0.000122228,N=1
0.000114834,N=1
0.000106353,N=1
0.000130949,N=1
0.000112506,N=1
0.000111546,N=1
0.000137241,N=1
9.32E-05,N=1
0.000133653,N=1
0.000118566,N=1
0.000163789,N=1
0.000160418,N=1
0.00011506,N=1
0.000143494,N=1
8.55E-05,N=1
0.000104144,N=1
0.000111906,N=1
0.000115586,N=1
9.12E-05,N=1
7.95E-05,N=1
0.000120469,N=1
9.45E-05,N=1
0.000134809,N=1
0.000151423,N=1
0.000151204,N=1
0.000100658,N=1
0.000127191,N=1
0.000116613,N=1
0.000104659,N=1
0.000137753,N=1
0.000116887,N=1
0.000111082,N=1
9.65E-05,N=1
0.000110158,N=1
0.000107191,N=1
0.000124567,N=1
0.000102287,N=1
8.62E-05,N=1
0.00013477,N=1
0.000112876,N=1
0.000112165,N=1
0.000122766,N=1
0.0001033,N=1
0.000142881,N=1
0.000106941,N=1
0.000139027,N=1
0.000141431,N=1
0.000108393,N=1
0.000124807,N=1
0.000113729,N=1
0.000130297,N=1
9.15E-05,N=1
0.000131298,N=1
0.000119955,N=1
0.000132441,N=1
0.00013701,N=1
0.000115755,N=1
0.000130364,N=1
8.80E-05,N=1
0.000123658,N=1
0.000111692,N=1
0.000167056,N=1
8.96E-05,N=1
9.40E-05,N=1
9.50E-05,N=1
0.000140608,N=1
0.00011829,N=1
0.000101895,N=1
0.000120206,N=1
0.000111799,N=1
0.000132066,N=1
0.00012133,N=1
0.000142405,N=1
0.00011005,N=1
0.00010782,N=1
0.000112376,N=1
9.84E-05,N=1
0.000141942,N=1
0.000105553,N=1
0.000137569,N=1
0.000104715,N=1
0.000150262,N=1
0.000109821,N=1
0.000128311,N=1
0.00012178,N=1
0.000101453,N=1
0.0001061,N=1
0.000104978,N=1
0.000148336,N=1
0.000122193,N=1
0.000127147,N=1
0.000143573,N=1
9.76E-05,N=1
0.000114853,N=1
0.00010529,N=1
0.000102806,N=1
9.68E-05,N=1
0.000118289,N=1
0.000141433,N=1
0.000115139,N=1
0.000105726,N=1
0.000130003,N=1
0.000116578,N=1
0.000126273,N=1
0.000121569,N=1
0.000119146,N=1
0.000112447,N=1
0.000107364,N=1
0.000122935,N=1
0.000107335,N=1
0.000113797,N=1
0.000147255,N=1
0.000143384,N=1
0.000145378,N=1
0.000145217,N=1
0.000129685,N=1
0.000116584,N=1
0.000120655,N=1
9.88E-05,N=1
0.000121648,N=1
0.000110246,N=1
0.000163694,N=1
0.000121778,N=1
0.000169033,N=1
0.000161378,N=1
0.000106375,N=1
9.95E-05,N=1
0.000133442,N=1
8.94E-05,N=1
8.38E-05,N=1
0.000115049,N=1
0.000132428,N=1
0.000150328,N=1
0.000119212,N=1
0.000130981,N=1
9.75E-05,N=1
0.00011746,N=1
0.000133708,N=1
0.000112336,N=1
0.00010072,N=1
0.000116429,N=1
0.000124742,N=1
0.000108575,N=1
9.69E-05,N=1
8.55E-05,N=1
0.000132064,N=1
0.000121009,N=1
0.000149101,N=1
0.000103693,N=1
0.000115786,N=1
0.000112838,N=1
0.000141608,N=1
0.00017993,N=1
0.00014023,N=1
0.000139768,N=1
9.19E-05,N=1
0.000101434,N=1
0.000126283,N=1
0.000137672,N=1
0.000119959,N=1
0.000101421,N=1
0.000134817,N=1
8.66E-05,N=1
0.000133194,N=1
0.000105665,N=1
0.00011663,N=1
0.000111849,N=1
0.000138921,N=1
0.000132583,N=1
0.00012429,N=1
0.000119428,N=1
0.000111137,N=1
0.000127685,N=1
0.000135458,N=1
0.00016056,N=1
0.000116367,N=1
0.000134262,N=1
0.000114389,N=1
0.000105046,N=1
0.000106477,N=1
9.30E-05,N=1
0.000109242,N=1
0.00012008,N=1
0.000128529,N=1
0.000152304,N=1
0.000107905,N=1
0.000124959,N=1
0.000103722,N=1
0.00016209,N=1
0.000106011,N=1
9.15E-05,N=1
0.00012692,N=1
0.000113366,N=1
0.000138824,N=1
0.000102948,N=1
0.000117864,N=1
0.000135174,N=1
0.000151337,N=1
9.72E-05,N=1
0.000129174,N=1
0.000141302,N=1
0.000137018,N=1
0.000101216,N=1
0.00011897,N=1
0.000133823,N=1
0.000102763,N=1
0.000104221,N=1
0.000114357,N=1
0.000141391,N=1
0.0001139,N=1
0.000127226,N=1
0.000107747,N=1
0.000109391,N=1
0.0001612,N=1
0.000143517,N=1
0.000144542,N=1
0.000108141,N=1
0.000119832,N=1
0.000105084,N=1
0.000130962,N=1
9.83E-05,N=1
0.000121946,N=1
0.000148407,N=1
9.17E-05,N=1
0.000116591,N=1
0.000109032,N=1
0.000129252,N=1
0.000108539,N=1
0.000114622,N=1
0.000102997,N=1
0.000107634,N=1
0.000107421,N=1
0.000104439,N=1
9.96E-05,N=1
0.000106799,N=1
0.000109435,N=1
0.000110797,N=1
0.000111486,N=1
0.000138999,N=1
0.000100911,N=1
0.000126263,N=1
0.00012621,N=1
8.02E-05,N=1
0.000111954,N=1
0.000140628,N=1
9.31E-05,N=1
0.000138306,N=1
0.000155389,N=1
0.000110277,N=1
0.000119191,N=1
0.000134132,N=1
7.74E-05,N=1
0.000113928,N=1
0.000111322,N=1
0.000116635,N=1
0.000110531,N=1
0.000141345,N=1
0.000113643,N=1
9.73E-05,N=1
8.28E-05,N=1
0.000144057,N=1
0.00010955,N=1
0.000113477,N=1
0.000104533,N=1
0.000116985,N=1
0.000125303,N=1
9.18E-05,N=1
0.000147178,N=1
0.000143695,N=1
8.25E-05,N=1
0.000100668,N=1
0.000138771,N=1
0.000144074,N=1
0.000114158,N=1
0.000112558,N=1
0.000115634,N=1
0.000127696,N=1
0.000143106,N=1
0.000125514,N=1
0.000108145,N=1
8.58E-05,N=1
9.69E-05,N=1
0.000100906,N=1
0.000144989,N=1
0.00012071,N=1
0.000122718,N=1
0.000108966,N=1
0.000129673,N=1
