cond.s.m,echo.1.3,cond.p.m,echo.p.3
s,0.000125508,p,0.000376523
s,0.00011318,p,0.000339541
s,0.000131682,p,0.000395047
s,0.000108239,p,0.000324717
s,0.000114926,p,0.000344777
s,0.000111198,p,0.000333594
s,0.000142031,p,0.000426092
s,0.000135971,p,0.000407914
s,0.000115866,p,0.000347598
s,0.000114849,p,0.000344547
s,0.000112486,p,0.000337458
s,9.71454E-05,p,0.000291436
s,0.000117904,p,0.000353713
s,9.76654E-05,p,0.000292996
s,0.000138163,p,0.00041449
s,0.000124156,p,0.000372467
s,0.000103477,p,0.000310431
s,0.0001137,p,0.0003411
s,0.000105544,p,0.000316632
s,0.000125727,p,0.000377181
s,0.000120711,p,0.000362134
s,0.00012288,p,0.00036864
s,9.9876E-05,p,0.000299628
s,0.000114508,p,0.000343523
s,0.000129661,p,0.000388983
s,0.000101545,p,0.000304635
s,0.000113156,p,0.000339468
s,8.65727E-05,p,0.000259718
s,0.000101411,p,0.000304232
s,9.63857E-05,p,0.000289157
s,0.000108737,p,0.000326212
s,0.000101556,p,0.000304669
s,0.000112626,p,0.000337877
s,9.17757E-05,p,0.000275327
s,0.000104355,p,0.000313065
s,0.000111445,p,0.000334334
s,0.000126224,p,0.000378671
s,0.000111526,p,0.000334579
s,9.9541E-05,p,0.000298623
s,0.000113386,p,0.000340158
s,0.000127178,p,0.000381534
s,0.00012448,p,0.000373441
s,0.00013409,p,0.00040227
s,0.000116818,p,0.000350454
s,0.000110366,p,0.000331098
s,0.000114075,p,0.000342225
s,0.000115471,p,0.000346414
s,0.000106021,p,0.000318062
s,9.44201E-05,p,0.00028326
s,0.000129263,p,0.00038779
s,0.000134237,p,0.00040271
s,9.84153E-05,p,0.000295246
s,0.000115971,p,0.000347913
s,9.41281E-05,p,0.000282384
s,0.000121094,p,0.000363283
s,0.000129134,p,0.000387401
s,0.000114783,p,0.000344348
s,9.88874E-05,p,0.000296662
s,0.00010569,p,0.00031707
s,0.000100007,p,0.000300021
s,9.54225E-05,p,0.000286267
s,0.000121968,p,0.000365904
s,9.73091E-05,p,0.000291927
s,0.000103635,p,0.000310905
s,0.000118584,p,0.000355751
s,0.000112071,p,0.000336212
s,0.000104838,p,0.000314514
s,9.62939E-05,p,0.000288882
s,0.000131663,p,0.00039499
s,0.000112333,p,0.000336999
s,0.000129493,p,0.000388478
s,0.000113404,p,0.000340211
s,0.000108652,p,0.000325957
s,0.000112565,p,0.000337695
s,0.000129961,p,0.000389882
s,9.63148E-05,p,0.000288944
s,0.00011029,p,0.00033087
s,0.000112659,p,0.000337977
s,0.00011459,p,0.00034377
s,0.000105971,p,0.000317912
s,0.000119925,p,0.000359774
s,0.000117535,p,0.000352604
s,0.000103044,p,0.000309133
s,0.000117641,p,0.000352924
s,0.000129252,p,0.000387755
s,0.00010028,p,0.000300841
s,0.000108526,p,0.000325579
s,0.000107074,p,0.000321223
s,9.83012E-05,p,0.000294904
s,0.000108514,p,0.000325541
s,0.000104693,p,0.000314079
s,0.000107918,p,0.000323753
s,0.000108015,p,0.000324045
s,0.000144873,p,0.00043462
s,8.56543E-05,p,0.000256963
s,0.000109605,p,0.000328815
s,9.84073E-05,p,0.000295222
s,9.81525E-05,p,0.000294458
s,0.000115917,p,0.000347751
s,0.000101384,p,0.000304153
s,0.000110468,p,0.000331403
s,8.44333E-05,p,0.0002533
s,0.000110355,p,0.000331065
s,8.31066E-05,p,0.00024932
s,0.000121306,p,0.000363917
s,9.94628E-05,p,0.000298388
s,0.00010213,p,0.00030639
s,0.00010117,p,0.00030351
s,0.000111835,p,0.000335504
s,0.000101583,p,0.00030475
s,0.000104481,p,0.000313444
s,0.000103538,p,0.000310613
s,0.000108499,p,0.000325496
s,0.000118937,p,0.000356811
s,0.000105635,p,0.000316906
s,0.000135517,p,0.00040655
s,0.000135286,p,0.000405858
s,0.000118602,p,0.000355805
s,0.000115851,p,0.000347553
s,0.00010657,p,0.000319711
s,0.000112228,p,0.000336685
s,0.000109655,p,0.000328965
s,0.000109126,p,0.000327379
s,0.000125066,p,0.000375197
s,0.000105426,p,0.000316277
s,0.000101707,p,0.000305122
s,0.000114577,p,0.000343731
s,9.75731E-05,p,0.000292719
s,0.000108717,p,0.000326151
s,0.000114503,p,0.000343509
s,0.000107281,p,0.000321844
s,9.45638E-05,p,0.000283691
s,9.89535E-05,p,0.00029686
s,0.000103721,p,0.000311162
s,0.000100886,p,0.000302659
s,9.89946E-05,p,0.000296984
s,0.000105044,p,0.000315132
s,0.000106552,p,0.000319657
s,0.000105027,p,0.000315082
s,9.63141E-05,p,0.000288942
s,0.000114496,p,0.000343487
s,0.000120982,p,0.000362945
s,0.000125226,p,0.000375677
s,0.000137424,p,0.000412273
s,0.000101601,p,0.000304802
s,0.000111437,p,0.000334312
s,0.000133307,p,0.00039992
s,9.71952E-05,p,0.000291586
s,9.90068E-05,p,0.00029702
s,0.000116914,p,0.000350742
s,0.000116331,p,0.000348992
s,9.17797E-05,p,0.000275339
s,0.000122931,p,0.000368792
s,0.000116488,p,0.000349464
s,0.000130766,p,0.000392298
s,9.10198E-05,p,0.000273059
s,0.00010954,p,0.000328621
s,0.000111947,p,0.00033584
s,9.73232E-05,p,0.00029197
s,0.000124504,p,0.000373512
s,0.000106882,p,0.000320647
s,0.000127638,p,0.000382913
s,0.000115793,p,0.000347378
s,0.000106261,p,0.000318783
s,0.000143519,p,0.000430557
s,0.000128032,p,0.000384097
s,0.000123401,p,0.000370204
s,9.25351E-05,p,0.000277605
s,0.000114984,p,0.000344951
s,0.000117667,p,0.000353
s,0.000114136,p,0.000342408
s,9.764E-05,p,0.00029292
s,0.000119749,p,0.000359246
s,9.52912E-05,p,0.000285874
s,0.000134517,p,0.000403551
s,9.82427E-05,p,0.000294728
s,0.000115714,p,0.000347142
s,9.65742E-05,p,0.000289723
s,9.20016E-05,p,0.000276005
s,8.90328E-05,p,0.000267098
s,0.000116095,p,0.000348285
s,0.000152606,p,0.000457817
s,0.000127574,p,0.000382721
s,0.000101225,p,0.000303676
s,0.000140478,p,0.000421433
s,8.90525E-05,p,0.000267157
s,0.000115264,p,0.000345793
s,0.000123214,p,0.000369642
s,0.00011618,p,0.000348541
s,0.000130913,p,0.000392738
s,0.000101131,p,0.000303392
s,0.000113061,p,0.000339184
s,0.000103369,p,0.000310108
s,0.000125931,p,0.000377794
s,9.4541E-05,p,0.000283623
s,0.000115367,p,0.0003461
s,0.000131678,p,0.000395034
s,0.00012554,p,0.00037662
s,0.000105758,p,0.000317275
s,0.00012804,p,0.00038412
s,0.000103233,p,0.0003097
s,0.000124103,p,0.000372308
s,0.000114568,p,0.000343704
s,0.000127177,p,0.000381531
s,0.000100491,p,0.000301472
s,0.00011837,p,0.000355109
s,0.000118159,p,0.000354476
s,0.000121496,p,0.000364488
s,0.000114295,p,0.000342886
s,0.000124386,p,0.000373157
s,0.000113993,p,0.00034198
s,9.97117E-05,p,0.000299135
s,0.000105696,p,0.000317087
s,0.000101816,p,0.000305449
s,0.000112476,p,0.000337427
s,0.000100047,p,0.00030014
s,0.00011109,p,0.000333271
s,0.000141514,p,0.000424541
s,0.000108699,p,0.000326097
s,0.000140896,p,0.000422688
s,0.000113251,p,0.000339754
s,0.000119733,p,0.0003592
s,0.000102997,p,0.000308992
s,0.000123345,p,0.000370036
s,0.000122731,p,0.000368193
s,0.000131727,p,0.00039518
s,0.000104069,p,0.000312207
s,9.92661E-05,p,0.000297798
s,0.000120825,p,0.000362475
s,0.000101324,p,0.000303973
s,0.000116636,p,0.000349907
s,0.000132157,p,0.00039647
s,0.000107266,p,0.000321799
s,0.000106725,p,0.000320176
s,0.000109609,p,0.000328826
s,0.000102948,p,0.000308844
s,9.86784E-05,p,0.000296035
s,0.000101492,p,0.000304477
s,0.000111596,p,0.000334787
s,0.000118481,p,0.000355442
s,0.000112144,p,0.000336432
s,0.00010539,p,0.000316171
s,0.000115995,p,0.000347986
s,0.000116358,p,0.000349075
s,0.000127263,p,0.000381789
s,9.7234E-05,p,0.000291702
s,0.000124919,p,0.000374758
s,9.7167E-05,p,0.000291501
s,0.000124384,p,0.000373153
s,0.000128386,p,0.000385158
s,0.000119216,p,0.000357647
s,0.000103025,p,0.000309074
s,8.95752E-05,p,0.000268726
s,0.000108854,p,0.000326563
s,0.000109551,p,0.000328654
s,9.47269E-05,p,0.000284181
s,0.000109335,p,0.000328005
s,0.000106469,p,0.000319408
s,0.000112576,p,0.000337728
s,0.000106346,p,0.000319038
s,0.000114451,p,0.000343353
s,0.00011206,p,0.00033618
s,0.000122974,p,0.000368921
s,0.000122497,p,0.000367491
s,0.000112198,p,0.000336595
s,0.000104326,p,0.000312979
s,0.00010448,p,0.000313441
s,0.00012669,p,0.00038007
s,0.00010781,p,0.000323431
s,0.000100745,p,0.000302234
s,9.89777E-05,p,0.000296933
s,0.000141767,p,0.0004253
s,0.000123945,p,0.000371834
s,0.000124779,p,0.000374336
s,9.82587E-05,p,0.000294776
s,0.000124851,p,0.000374553
s,9.96678E-05,p,0.000299003
s,0.000110405,p,0.000331215
s,0.000109133,p,0.000327398
s,0.000117018,p,0.000351053
s,0.000126781,p,0.000380344
s,0.000123129,p,0.000369388
s,0.000105223,p,0.000315668
s,0.000125301,p,0.000375903
s,8.424E-05,p,0.00025272
s,0.000113126,p,0.000339378
s,0.000113658,p,0.000340973
s,0.000103268,p,0.000309804
s,0.000115736,p,0.000347207
s,0.000113567,p,0.000340701
s,0.000143552,p,0.000430657
s,0.000100327,p,0.00030098
