cond.s.m,echo.1.3,cond.p.m,echo.p.3
s,3.41521E-05,p,0.000102456
s,4.79624E-05,p,0.000143887
s,4.62094E-05,p,0.000138628
s,4.06784E-05,p,0.000122035
s,5.3703E-05,p,0.000161109
s,4.86818E-05,p,0.000146045
s,5.7901E-05,p,0.000173703
s,3.96074E-05,p,0.000118822
s,4.38246E-05,p,0.000131474
s,4.83147E-05,p,0.000144944
s,4.86361E-05,p,0.000145908
s,4.86406E-05,p,0.000145922
s,4.40122E-05,p,0.000132037
s,3.28507E-05,p,9.85522E-05
s,4.05035E-05,p,0.00012151
s,5.05732E-05,p,0.000151719
s,4.35867E-05,p,0.00013076
s,3.82339E-05,p,0.000114702
s,4.77811E-05,p,0.000143343
s,5.36872E-05,p,0.000161061
s,5.01422E-05,p,0.000150427
s,3.40423E-05,p,0.000102127
s,4.45476E-05,p,0.000133643
s,4.7657E-05,p,0.000142971
s,5.17792E-05,p,0.000155338
s,5.09037E-05,p,0.000152711
s,4.50542E-05,p,0.000135163
s,3.8079E-05,p,0.000114237
s,5.65416E-05,p,0.000169625
s,5.27663E-05,p,0.000158299
s,5.73098E-05,p,0.000171929
s,4.31609E-05,p,0.000129483
s,5.22067E-05,p,0.00015662
s,5.13744E-05,p,0.000154123
s,4.51274E-05,p,0.000135382
s,3.47334E-05,p,0.0001042
s,4.20225E-05,p,0.000126067
s,3.70579E-05,p,0.000111174
s,4.28844E-05,p,0.000128653
s,5.22086E-05,p,0.000156626
s,5.02796E-05,p,0.000150839
s,3.57697E-05,p,0.000107309
s,5.12371E-05,p,0.000153711
s,4.24593E-05,p,0.000127378
s,4.4193E-05,p,0.000132579
s,5.189E-05,p,0.00015567
s,4.66935E-05,p,0.00014008
s,5.03958E-05,p,0.000151187
s,3.95751E-05,p,0.000118725
s,3.96201E-05,p,0.00011886
s,0.000048055,p,0.000144165
s,3.53755E-05,p,0.000106126
s,4.46325E-05,p,0.000133898
s,5.344E-05,p,0.00016032
s,4.74676E-05,p,0.000142403
s,4.58062E-05,p,0.000137419
s,4.31464E-05,p,0.000129439
s,4.32639E-05,p,0.000129792
s,5.27652E-05,p,0.000158295
s,4.88666E-05,p,0.0001466
s,4.25178E-05,p,0.000127553
s,4.80204E-05,p,0.000144061
s,3.81502E-05,p,0.000114451
s,5.20123E-05,p,0.000156037
s,5.38173E-05,p,0.000161452
s,4.72782E-05,p,0.000141835
s,3.98841E-05,p,0.000119652
s,4.91432E-05,p,0.00014743
s,4.78067E-05,p,0.00014342
s,3.98763E-05,p,0.000119629
s,4.33765E-05,p,0.00013013
s,4.15315E-05,p,0.000124595
s,5.61874E-05,p,0.000168562
s,3.94166E-05,p,0.00011825
s,3.58745E-05,p,0.000107624
s,4.33394E-05,p,0.000130018
s,3.84871E-05,p,0.000115461
s,5.98976E-05,p,0.000179693
s,4.16107E-05,p,0.000124832
s,5.17597E-05,p,0.000155279
s,4.937E-05,p,0.00014811
s,5.63251E-05,p,0.000168975
s,5.67674E-05,p,0.000170302
s,4.26262E-05,p,0.000127879
s,4.30758E-05,p,0.000129227
s,4.52601E-05,p,0.00013578
s,4.45427E-05,p,0.000133628
s,4.60427E-05,p,0.000138128
s,4.42474E-05,p,0.000132742
s,4.76082E-05,p,0.000142825
s,4.10967E-05,p,0.00012329
s,4.23186E-05,p,0.000126956
s,3.89387E-05,p,0.000116816
s,4.09737E-05,p,0.000122921
s,4.47854E-05,p,0.000134356
s,4.68621E-05,p,0.000140586
s,4.45376E-05,p,0.000133613
s,4.45617E-05,p,0.000133685
s,3.71013E-05,p,0.000111304
s,5.30735E-05,p,0.000159221
s,5.29761E-05,p,0.000158928
s,4.81161E-05,p,0.000144348
s,4.67902E-05,p,0.00014037
s,4.2834E-05,p,0.000128502
s,5.15945E-05,p,0.000154784
s,5.31633E-05,p,0.00015949
s,3.94872E-05,p,0.000118462
s,3.88731E-05,p,0.000116619
s,3.94494E-05,p,0.000118348
s,4.55279E-05,p,0.000136584
s,4.74417E-05,p,0.000142325
s,5.49923E-05,p,0.000164977
s,5.62693E-05,p,0.000168808
s,4.87188E-05,p,0.000146156
s,4.91499E-05,p,0.00014745
s,3.5869E-05,p,0.000107607
s,4.62785E-05,p,0.000138835
s,5.30214E-05,p,0.000159064
s,4.30823E-05,p,0.000129247
s,4.61636E-05,p,0.000138491
s,3.81277E-05,p,0.000114383
s,5.78739E-05,p,0.000173622
s,5.36091E-05,p,0.000160827
s,0.000048802,p,0.000146406
s,4.83568E-05,p,0.00014507
s,5.09705E-05,p,0.000152912
s,5.82215E-05,p,0.000174665
s,4.87841E-05,p,0.000146352
s,4.81299E-05,p,0.00014439
s,4.4676E-05,p,0.000134028
s,5.84185E-05,p,0.000175255
s,4.55697E-05,p,0.000136709
s,4.49603E-05,p,0.000134881
s,5.22484E-05,p,0.000156745
s,4.26656E-05,p,0.000127997
s,4.76183E-05,p,0.000142855
s,5.53785E-05,p,0.000166136
s,4.40592E-05,p,0.000132178
s,3.48975E-05,p,0.000104692
s,4.67468E-05,p,0.00014024
s,5.47339E-05,p,0.000164202
s,4.49633E-05,p,0.00013489
s,5.8187E-05,p,0.000174561
s,4.49602E-05,p,0.000134881
s,4.48776E-05,p,0.000134633
s,4.63642E-05,p,0.000139092
s,3.05115E-05,p,9.15346E-05
s,4.36725E-05,p,0.000131017
s,5.07727E-05,p,0.000152318
s,3.88715E-05,p,0.000116614
s,4.23661E-05,p,0.000127098
s,4.50583E-05,p,0.000135175
s,5.29996E-05,p,0.000158999
s,3.10432E-05,p,9.31297E-05
s,5.61698E-05,p,0.00016851
s,4.49054E-05,p,0.000134716
s,5.67121E-05,p,0.000170136
s,5.28057E-05,p,0.000158417
s,4.25866E-05,p,0.00012776
s,5.03356E-05,p,0.000151007
s,4.73773E-05,p,0.000142132
s,5.28971E-05,p,0.000158691
s,4.33624E-05,p,0.000130087
s,3.80196E-05,p,0.000114059
s,5.66569E-05,p,0.000169971
s,5.19677E-05,p,0.000155903
s,5.90484E-05,p,0.000177145
s,4.52828E-05,p,0.000135849
s,4.59173E-05,p,0.000137752
