cond.s.m,echo.s.m,cond.p.m,echo.p.m
1,0.000114191,p,0.000342572
1,0.000122787,p,0.000368362
1,0.000127727,p,0.00038318
1,0.000123692,p,0.000371076
1,8.97393E-05,p,0.000269218
1,8.49142E-05,p,0.000254743
1,0.00012765,p,0.00038295
1,0.000148542,p,0.000445625
1,0.000131187,p,0.00039356
1,9.56977E-05,p,0.000287093
1,0.000111413,p,0.00033424
1,0.000119294,p,0.000357882
1,0.000110043,p,0.00033013
1,0.000115741,p,0.000347224
1,0.000134791,p,0.000404373
1,0.000135793,p,0.000407378
1,0.000130402,p,0.000391205
1,0.00012119,p,0.000363569
1,0.000119225,p,0.000357674
1,0.000114013,p,0.000342038
1,0.000146598,p,0.000439794
1,0.000148918,p,0.000446753
1,0.000128726,p,0.000386178
1,0.000128066,p,0.000384197
1,0.000129796,p,0.000389388
1,0.000107031,p,0.000321094
1,0.000150005,p,0.000450016
1,0.000121433,p,0.0003643
1,8.78901E-05,p,0.00026367
1,0.000101965,p,0.000305894
1,0.000142726,p,0.000428178
1,0.000103177,p,0.000309531
1,0.000137173,p,0.000411519
1,0.000123243,p,0.000369728
1,9.03252E-05,p,0.000270976
1,0.000129072,p,0.000387215
1,0.000125435,p,0.000376304
1,0.000124389,p,0.000373168
1,0.000145196,p,0.000435589
1,0.000169391,p,0.000508173
1,8.3522E-05,p,0.000250566
1,0.000124479,p,0.000373436
1,0.000157892,p,0.000473677
1,0.000119377,p,0.00035813
1,8.90499E-05,p,0.00026715
1,9.4944E-05,p,0.000284832
1,0.000126342,p,0.000379027
1,0.000107624,p,0.000322871
1,0.000129377,p,0.000388132
1,0.000105156,p,0.000315467
1,0.000112891,p,0.000338674
1,0.000107532,p,0.000322597
1,0.0001284,p,0.000385201
1,0.000139941,p,0.000419822
1,9.19523E-05,p,0.000275857
1,0.000122272,p,0.000366816
1,0.000124019,p,0.000372056
1,0.000107716,p,0.000323147
1,0.000136551,p,0.000409654
1,0.000151117,p,0.000453351
1,0.000145386,p,0.000436159
1,0.000104693,p,0.00031408
1,0.000142156,p,0.000426469
1,0.000145691,p,0.000437074
1,0.000130688,p,0.000392063
1,0.000118233,p,0.0003547
1,0.000122228,p,0.000366684
1,0.000114834,p,0.000344502
1,0.000106353,p,0.000319059
1,0.000130949,p,0.000392846
1,0.000112506,p,0.000337519
1,0.000111546,p,0.000334638
1,0.000137241,p,0.000411724
1,9.32298E-05,p,0.000279689
1,0.000133653,p,0.000400958
1,0.000118566,p,0.000355699
1,0.000163789,p,0.000491367
1,0.000160418,p,0.000481254
1,0.00011506,p,0.00034518
1,0.000143494,p,0.000430482
1,8.55464E-05,p,0.000256639
1,0.000104144,p,0.000312431
1,0.000111906,p,0.000335717
1,0.000115586,p,0.000346759
1,9.1209E-05,p,0.000273627
1,7.94623E-05,p,0.000238387
1,0.000120469,p,0.000361407
1,9.45126E-05,p,0.000283538
1,0.000134809,p,0.000404427
1,0.000151423,p,0.000454268
1,0.000151204,p,0.000453612
1,0.000100658,p,0.000301975
1,0.000127191,p,0.000381573
1,0.000116613,p,0.000349839
1,0.000104659,p,0.000313976
1,0.000137753,p,0.000413258
1,0.000116887,p,0.000350661
1,0.000111082,p,0.000333247
1,9.65491E-05,p,0.000289647
1,0.000110158,p,0.000330475
1,0.000107191,p,0.000321574
1,0.000124567,p,0.0003737
1,0.000102287,p,0.000306862
1,8.61866E-05,p,0.00025856
1,0.00013477,p,0.000404311
1,0.000112876,p,0.000338627
1,0.000112165,p,0.000336496
1,0.000122766,p,0.000368299
1,0.0001033,p,0.000309901
1,0.000142881,p,0.000428642
1,0.000106941,p,0.000320824
1,0.000139027,p,0.000417082
1,0.000141431,p,0.000424293
1,0.000108393,p,0.000325178
1,0.000124807,p,0.000374421
1,0.000113729,p,0.000341188
1,0.000130297,p,0.00039089
1,9.14606E-05,p,0.000274382
1,0.000131298,p,0.000393893
1,0.000119955,p,0.000359865
1,0.000132441,p,0.000397323
1,0.00013701,p,0.000411029
1,0.000115755,p,0.000347264
1,0.000130364,p,0.000391091
1,8.80438E-05,p,0.000264131
1,0.000123658,p,0.000370973
1,0.000111692,p,0.000335075
1,0.000167056,p,0.000501167
1,8.9587E-05,p,0.000268761
1,9.39987E-05,p,0.000281996
1,9.49789E-05,p,0.000284937
1,0.000140608,p,0.000421824
1,0.00011829,p,0.00035487
1,0.000101895,p,0.000305684
1,0.000120206,p,0.000360619
1,0.000111799,p,0.000335396
1,0.000132066,p,0.000396198
1,0.00012133,p,0.000363991
1,0.000142405,p,0.000427215
1,0.00011005,p,0.000330151
1,0.00010782,p,0.00032346
1,0.000112376,p,0.000337129
1,9.83677E-05,p,0.000295103
1,0.000141942,p,0.000425827
1,0.000105553,p,0.00031666
1,0.000137569,p,0.000412707
1,0.000104715,p,0.000314145
1,0.000150262,p,0.000450786
1,0.000109821,p,0.000329462
1,0.000128311,p,0.000384932
1,0.00012178,p,0.000365341
1,0.000101453,p,0.000304359
1,0.0001061,p,0.000318301
1,0.000104978,p,0.000314934
1,0.000148336,p,0.000445008
1,0.000122193,p,0.000366579
1,0.000127147,p,0.00038144
1,0.000143573,p,0.000430718
1,9.75593E-05,p,0.000292678
1,0.000114853,p,0.000344558
1,0.00010529,p,0.00031587
1,0.000102806,p,0.000308419
1,9.68036E-05,p,0.000290411
1,0.000118289,p,0.000354867
1,0.000141433,p,0.0004243
1,0.000115139,p,0.000345416
1,0.000105726,p,0.000317177
1,0.000130003,p,0.00039001
1,0.000116578,p,0.000349733
1,0.000126273,p,0.000378819
1,0.000121569,p,0.000364708
1,0.000119146,p,0.000357438
1,0.000112447,p,0.000337341
1,0.000107364,p,0.000322092
1,0.000122935,p,0.000368804
1,0.000107335,p,0.000322005
1,0.000113797,p,0.00034139
1,0.000147255,p,0.000441766
1,0.000143384,p,0.000430153
1,0.000145378,p,0.000436133
1,0.000145217,p,0.00043565
1,0.000129685,p,0.000389055
1,0.000116584,p,0.000349752
1,0.000120655,p,0.000361966
1,9.87927E-05,p,0.000296378
1,0.000121648,p,0.000364944
1,0.000110246,p,0.000330738
1,0.000163694,p,0.000491083
1,0.000121778,p,0.000365334
1,0.000169033,p,0.0005071
1,0.000161378,p,0.000484135
1,0.000106375,p,0.000319124
1,9.95359E-05,p,0.000298608
1,0.000133442,p,0.000400327
1,8.93523E-05,p,0.000268057
1,8.38144E-05,p,0.000251443
1,0.000115049,p,0.000345148
1,0.000132428,p,0.000397284
1,0.000150328,p,0.000450985
1,0.000119212,p,0.000357636
1,0.000130981,p,0.000392942
1,9.75056E-05,p,0.000292517
1,0.00011746,p,0.000352379
1,0.000133708,p,0.000401125
1,0.000112336,p,0.000337009
1,0.00010072,p,0.00030216
1,0.000116429,p,0.000349286
1,0.000124742,p,0.000374226
1,0.000108575,p,0.000325725
1,9.68671E-05,p,0.000290601
1,8.54536E-05,p,0.000256361
