unstudied,tone,rhythm,both,,,cond.r.t,echo.r.t,condr.b,echo.r.b,cond.t.b,echo.t.b,,r,t,predicted,both,,cond.p.b,echo.p.b,cond.r.t,echo.r.t,condr.b,echo.r.b,cond.t.b,echo.t.b
7.57E-07,0.000583761,0.000132013,0.00060181,,,r,0.000132013,r,0.000132013,t,0.000583761,,1.31E-04,5.83E-04,7.14E-04,6.01E-04,,p,7.14E-04,r,0.000132013,r,0.000132013,t,0.000583761
7.86E-07,0.00046432,0.000144514,0.000629046,,,r,0.000144514,r,0.000144514,t,0.00046432,,1.44E-04,4.64E-04,6.07E-04,6.28E-04,,p,6.07E-04,r,0.000144514,r,0.000144514,t,0.00046432
9.12E-07,0.000580612,0.000165847,0.000658532,,,r,0.000165847,r,0.000165847,t,0.000580612,,1.65E-04,5.80E-04,7.45E-04,6.58E-04,,p,7.45E-04,r,0.000165847,r,0.000165847,t,0.000580612
8.67E-07,0.000456577,0.000162502,0.000697207,,,r,0.000162502,r,0.000162502,t,0.000456577,,1.62E-04,4.56E-04,6.17E-04,6.96E-04,,p,6.17E-04,r,0.000162502,r,0.000162502,t,0.000456577
-1.21E-06,0.000498808,0.000148982,0.000660921,,,r,0.000148982,r,0.000148982,t,0.000498808,,1.50E-04,5.00E-04,6.50E-04,6.62E-04,,p,6.50E-04,r,0.000148982,r,0.000148982,t,0.000498808
1.17E-06,0.000512927,0.000179085,0.000632032,,,r,0.000179085,r,0.000179085,t,0.000512927,,1.78E-04,5.12E-04,6.90E-04,6.31E-04,,p,6.90E-04,r,0.000179085,r,0.000179085,t,0.000512927
2.58E-07,0.000454949,0.000150668,0.000682,,,r,0.000150668,r,0.000150668,t,0.000454949,,1.50E-04,4.55E-04,6.05E-04,6.82E-04,,p,6.05E-04,r,0.000150668,r,0.000150668,t,0.000454949
1.66E-07,0.000503264,0.000151021,0.000730032,,,r,0.000151021,r,0.000151021,t,0.000503264,,1.51E-04,5.03E-04,6.54E-04,7.30E-04,,p,6.54E-04,r,0.000151021,r,0.000151021,t,0.000503264
-1.23E-06,0.00052157,0.000159546,0.000588734,,,r,0.000159546,r,0.000159546,t,0.00052157,,1.61E-04,5.23E-04,6.84E-04,5.90E-04,,p,6.84E-04,r,0.000159546,r,0.000159546,t,0.00052157
1.24E-06,0.000572965,0.000140621,0.000704254,,,r,0.000140621,r,0.000140621,t,0.000572965,,1.39E-04,5.72E-04,7.11E-04,7.03E-04,,p,7.11E-04,r,0.000140621,r,0.000140621,t,0.000572965
-1.20E-07,0.000555095,0.000154914,0.000642139,,,r,0.000154914,r,0.000154914,t,0.000555095,,1.55E-04,5.55E-04,7.10E-04,6.42E-04,,p,7.10E-04,r,0.000154914,r,0.000154914,t,0.000555095
4.33E-07,0.000517502,0.000146013,0.000687834,,,r,0.000146013,r,0.000146013,t,0.000517502,,1.46E-04,5.17E-04,6.63E-04,6.87E-04,,p,6.63E-04,r,0.000146013,r,0.000146013,t,0.000517502
3.19E-07,0.000471256,0.000135512,0.000657139,,,r,0.000135512,r,0.000135512,t,0.000471256,,1.35E-04,4.71E-04,6.06E-04,6.57E-04,,p,6.06E-04,r,0.000135512,r,0.000135512,t,0.000471256
1.58E-06,0.00055554,0.000177619,0.000565365,,,r,0.000177619,r,0.000177619,t,0.00055554,,1.76E-04,5.54E-04,7.30E-04,5.64E-04,,p,7.30E-04,r,0.000177619,r,0.000177619,t,0.00055554
2.27E-06,0.000494653,0.000131856,0.000610573,,,r,0.000131856,r,0.000131856,t,0.000494653,,1.30E-04,4.92E-04,6.22E-04,6.08E-04,,p,6.22E-04,r,0.000131856,r,0.000131856,t,0.000494653
7.77E-08,0.000541763,0.000128753,0.000655364,,,r,0.000128753,r,0.000128753,t,0.000541763,,1.29E-04,5.42E-04,6.70E-04,6.55E-04,,p,6.70E-04,r,0.000128753,r,0.000128753,t,0.000541763
1.50E-07,0.000442524,0.000165227,0.000639023,,,r,0.000165227,r,0.000165227,t,0.000442524,,1.65E-04,4.42E-04,6.07E-04,6.39E-04,,p,6.07E-04,r,0.000165227,r,0.000165227,t,0.000442524
-5.81E-07,0.000494328,0.000139092,0.000592742,,,r,0.000139092,r,0.000139092,t,0.000494328,,1.40E-04,4.95E-04,6.35E-04,5.93E-04,,p,6.35E-04,r,0.000139092,r,0.000139092,t,0.000494328
