unstudied,tone,rhythm,both
2.01E-07,0.000933119,6.48E-05,0.000850687
7.90E-07,0.000860691,6.00E-05,0.000777759
2.91E-07,0.000784939,6.39E-05,0.000877774
6.40E-07,0.000785031,7.34E-05,0.000993935
-3.73E-07,0.00078497,6.34E-05,0.000892158
1.05E-06,0.000778781,6.33E-05,0.0007945
1.21E-06,0.000833981,5.89E-05,0.000916928
-1.53E-06,0.000746245,6.39E-05,0.000797699
1.03E-06,0.00099102,5.47E-05,0.00086143
-1.33E-06,0.00078151,5.24E-05,0.000890472
-4.07E-07,0.000791225,6.15E-05,0.000751593
9.12E-08,0.000801192,5.14E-05,0.000913309
-2.13E-07,0.000823278,7.26E-05,0.000807529
2.51E-06,0.00078448,5.89E-05,0.00085084
-1.60E-07,0.000745644,5.52E-05,0.000764545
-3.54E-07,0.00078281,7.12E-05,0.000916707
-2.78E-06,0.00078911,6.39E-05,0.000975613
5.89E-07,0.000726356,7.17E-05,0.000836483
4.87E-07,0.000892231,5.70E-05,0.000737295
1.15E-06,0.000887371,5.14E-05,0.000770868
1.06E-06,0.000842186,6.53E-05,0.000769858
1.55E-07,0.000796452,5.85E-05,0.000828194
-2.40E-07,0.0007294,7.34E-05,0.000930948
8.53E-07,0.000781078,8.16E-05,0.000771655
-1.83E-06,0.00077304,5.71E-05,0.000803822
5.11E-07,0.000740207,6.15E-05,0.000833832
8.15E-07,0.000821031,6.53E-05,0.00081984
1.33E-06,0.00091594,5.68E-05,0.000892541
7.42E-07,0.000754819,5.95E-05,0.000811137
-8.13E-07,0.0007763,4.62E-05,0.000819632
-2.63E-07,0.000677771,7.90E-05,0.000812905
-2.53E-06,0.000714154,5.62E-05,0.000799687
1.10E-06,0.000845223,6.16E-05,0.000807316
5.91E-07,0.000888689,5.86E-05,0.000772587
-3.23E-06,0.000880863,7.20E-05,0.000812553
-1.32E-06,0.000762839,6.66E-05,0.000863542
-1.38E-06,0.000827534,7.50E-05,0.00086004
-2.24E-06,0.000772045,6.65E-05,0.000837123
6.80E-07,0.000814541,6.13E-05,0.00074998
