cond.r.t,echo.r.t,cond.r.b,echo.r.b,cond.t.b,echo.t.b,cond.p.b,echo.p.b
r,0.000307451,r,0.000307451,t,0.000291718,p,0.000599169
r,0.000310637,r,0.000310637,t,0.000278002,p,0.000588639
r,0.000318977,r,0.000318977,t,0.00029554,p,0.000614517
r,0.000290604,r,0.000290604,t,0.000260335,p,0.000550939
r,0.000311759,r,0.000311759,t,0.00029431,p,0.000606069
r,0.000329435,r,0.000329435,t,0.000311629,p,0.000641064
r,0.000259519,r,0.000259519,t,0.000304734,p,0.000564253
r,0.000293992,r,0.000293992,t,0.000250066,p,0.000544058
r,0.000258456,r,0.000258456,t,0.000315021,p,0.000573477
r,0.000249387,r,0.000249387,t,0.000232102,p,0.000481489
r,0.000273773,r,0.000273773,t,0.000318233,p,0.000592006
r,0.000248265,r,0.000248265,t,0.000317245,p,0.00056551
r,0.000351785,r,0.000351785,t,0.000281005,p,0.00063279
r,0.000314657,r,0.000314657,t,0.000288167,p,0.000602824
r,0.000324348,r,0.000324348,t,0.000294019,p,0.000618367
r,0.000297811,r,0.000297811,t,0.000275653,p,0.000573464
r,0.00029506,r,0.00029506,t,0.00029708,p,0.00059214
r,0.000300315,r,0.000300315,t,0.000230734,p,0.000531049
r,0.000317697,r,0.000317697,t,0.000318026,p,0.000635723
r,0.000295804,r,0.000295804,t,0.000295161,p,0.000590965
r,0.000285335,r,0.000285335,t,0.000330827,p,0.000616162
r,0.00030311,r,0.00030311,t,0.000268622,p,0.000571732
r,0.000291092,r,0.000291092,t,0.00026559,p,0.000556682
r,0.000360213,r,0.000360213,t,0.000267283,p,0.000627496
r,0.000292422,r,0.000292422,t,0.000305424,p,0.000597846
r,0.000296698,r,0.000296698,t,0.000278039,p,0.000574737
r,0.000324173,r,0.000324173,t,0.000341489,p,0.000665662
r,0.000238161,r,0.000238161,t,0.000261628,p,0.000499789
r,0.000284582,r,0.000284582,t,0.000326558,p,0.00061114
r,0.000271288,r,0.000271288,t,0.000273505,p,0.000544793
r,0.000302562,r,0.000302562,t,0.000294508,p,0.00059707
r,0.000331175,r,0.000331175,t,0.000294223,p,0.000625398
r,0.000291104,r,0.000291104,t,0.000306462,p,0.000597566
r,0.000273163,r,0.000273163,t,0.000342202,p,0.000615365
